dataId,genre
102705,Drama
102705,Horror
102706,Horror
102706,Thriller
102707,Drama
102707,Romance
102707,Thriller
102708,Crime
102708,Romance
102708,Thriller
102709,Documentary
102709,Musical
102710,Horror
102711,Comedy
102711,Horror
102712,Comedy
102712,Romance
102713,Crime
102713,Drama
102714,Adventure
102714,Comedy
102714,Drama
102715,Comedy
102716,Action
102716,Crime
102716,Mystery
102717,Action
102717,Adventure
102717,Comedy
102718,Adventure
102718,Comedy
102718,Family
102719,Documentary
102719,Horror
102720,Adventure
102720,Comedy
102721,Documentary
102721,War
102722,Horror
102723,Documentary
102723,Horror
102724,Action
102724,Drama
102724,Mystery
102725,Action
102725,Comedy
102725,Fantasy
102726,Adventure
102726,Drama
102727,Comedy
102728,Action
102728,Crime
102728,Thriller
102729,Family
102729,Music
102729,Romance
102730,Crime
102730,Drama
102730,Film-Noir
102731,Western
102732,Drama
102733,Comedy
102733,Musical
102734,Documentary
102735,Drama
102736,Short
102736,Drama
102737,Comedy
102737,Musical
102737,Romance
102738,Drama
102739,Adventure
102739,Family
102740,Documentary
102740,Biography
102741,Biography
102742,Documentary
102742,Biography
102742,Music
102743,Thriller
102744,Documentary
102744,Sport
102745,Documentary
102746,Drama
102746,Family
102746,Thriller
102747,Comedy
102747,Drama
102748,Comedy
102748,Drama
102748,Family
102749,Comedy
102750,Comedy
102750,Drama
102750,Romance
102751,Comedy
102751,Romance
102752,Comedy
102753,Documentary
102753,Short
102753,Biography
102754,Documentary
102755,Documentary
102755,Sport
102756,Drama
102757,Drama
102757,Romance
102758,Family
102759,Drama
102760,Crime
102760,Thriller
102761,Drama
102762,Action
102762,Drama
102763,Documentary
102763,War
102764,Action
102764,Drama
102764,Mystery
102765,Documentary
102766,Comedy
102767,Action
102767,Crime
102768,Horror
102769,Documentary
102770,Drama
102770,Fantasy
102770,Sci-Fi
102771,Drama
102771,Thriller
102772,Animation
102772,Short
102772,Comedy
102773,Crime
102773,Drama
102773,Film-Noir
102774,Documentary
102774,Animation
102774,Drama
102775,Comedy
102776,Documentary
102776,Short
102777,n
102777,u
102777,l
102777,l
102778,Documentary
102778,Short
102779,Action
102779,Adventure
102779,Drama
102780,Thriller
102781,Drama
102782,Comedy
102782,Short
102783,Horror
102783,Mystery
102783,Thriller
102784,Comedy
102784,Romance
102785,Comedy
102786,Comedy
102786,Romance
102787,Musical
102788,Action
102788,Crime
102788,Drama
102789,Comedy
102789,Horror
102789,Sci-Fi
102790,Crime
102790,Drama
